subj,tokprodfr,exchprodfr,price,exp1,exp1cond,exp2,exp2cond,exp3,exp3cond,exp4,exp4cond,exp5,exp5cond,exp6,exp6cond,exp7,exp7cond,freetoken,wage,intrft,intcrit,taxloss,taxcrit,tokprodresp,exchprodresp,tokexchresp,rft,tokennum,inttok,taxtok
1,1,200,1,,,,,,,,,,,6,9,,,,,5,12,,,58,1000,88,88,11,30,
1,1,200,1,,,,,,,,,,,6,9,,,,,5,12,,,57,800,77,77,10,20,
1,1,200,1,,,,,,,,,,,6,9,,,,,5,12,,,48,800,95,95,8,47,
1,1,200,1,,,,,,,,,,,6,7,,,,,1,12,,,42,400,120,120,0,78,
1,1,200,1,,,,,,,,,,,6,7,,,,,1,12,,,69,600,71,71,6,2,
1,1,200,1,,,,,,,,,,,6,7,,,,,1,12,,,40,400,84,84,13,44,
1,1,200,1,,,,,,,,,,,6,7,,,,,1,12,,,34,400,88,88,11,54,
1,1,200,1,,,,,,,,,,,6,7,,,,,1,12,,,40,400,84,84,6,44,
1,1,200,1,,,,,,,,,,,6,10,,,,,2,12,,,55,600,95,95,1,40,
1,1,200,1,,,,,,,,,,,6,10,,,,,2,12,,,61,800,101,101,11,40,
1,1,200,1,,,,,,,,,,,6,10,,,,,2,12,,,48,600,101,101,5,53,
1,1,200,1,,,,,,,,,,,6,10,,,,,2,12,,,58,1000,90,90,9,32,
1,1,200,1,,,,,,,,,,,6,10,,,,,2,12,,,73,1000,95,95,5,22,
1,1,200,1,,,,,,,,,,,6,11,,,,,,,,,76,1400,76,76,1,0,
1,1,200,1,,,,,,,,,,,6,11,,,,,,,,,90,1200,90,90,2,0,
1,1,200,1,,,,,,,,,,,6,11,,,,,,,,,92,1000,92,92,1,0,
1,1,200,1,,,,,,,,,,,6,11,,,,,,,,,75,1000,75,75,7,0,
1,1,200,1,,,,,,,,,,,6,11,,,,,,,,,98,1200,98,98,1,0,
1,1,200,1,,,,,,,,,,,6,13,,,,,2,18,,,120,1000,122,122,0,2,
